0,be58cf76d97b-1440317_H3K27ac_H2_D3.all,83c5ee70b54c-Hudep2_ATAC,ff172dc44bae-1686607_H2_ABEmax_RNAseq.all,a5827a3aed28-Hudep2_D3_merged_CTCF.all,0e736a158439-Hudep2_BCL11A,f4de4caca3a7-1440315_H3K27me3_H2_D3.all,9c840e19bbed-Hudep2_D0_GATA1.all,f0663efdfef9-HUDEP2_LRF_CHIP,50d97c7d24d1-1788283_H2_ABEmax.all,7f7f32ae893c-Hudep2_D3_merged_GATA1.all,239c569c6374-Hudep2_D3_merged_KLF1.all,6af40841b8aa-1440311_H3K9me3_H2_D3.all,b9695d26860d-Hudep2_D3_merged_LDB1.all,188da58c07d8-1440307_H3K4me1_H2_D3.all,5f7c070fdda9-Hudep2_D3_merged_TAL1.all,35630c3a763e-1440313_H3K9ac_H2_D3.all,5ce8a22e939d-1440319_H3K36me3_H2_D3.all,0bf9f8a97328-1440309_H3K4me3_H2_D3.all
chr19:13694150-13694151,5.04545,168.636,0.0,4.47727,11.6591,1.34091,13.6591,16.1591,0.0,36.3409,23.1136,3.13636,33.0455,4.63636,27.4545,5.70455,3.11364,2.36364
chr19:13694152-13694153,5.22727,166.18200000000002,0.0,4.38636,11.2955,1.20455,13.2955,15.7955,0.0,36.7045,23.0682,3.18182,32.2273,4.68182,28.2727,5.52273,3.06818,2.31818
chr19:13694187-13694188,5.5,162.5,0.0,4.25,10.75,1.0,12.75,15.25,0.0,37.25,23.0,3.25,31.0,4.75,29.5,5.25,3.0,2.25
chr19:13700175-13700176,2.75,158.75,0.0,107.5,4.75,1.75,9.0,34.25,0.0,4.75,10.25,1.5,19.75,6.25,6.25,6.5,3.5,6.0
chr19:13700267-13700268,2.75,228.25,0.0,145.25,4.0,1.75,11.75,40.25,0.0,3.75,16.5,3.5,14.75,5.75,7.25,4.75,1.25,6.25
chr19:13700268-13700269,2.75,228.25,0.0,145.25,4.0,1.75,11.75,40.25,0.0,3.75,16.5,3.5,14.75,5.75,7.25,4.75,1.25,6.25
chr19:13700277-13700278,2.75,228.25,0.0,145.25,4.0,1.75,11.75,40.25,0.0,3.75,16.5,3.5,14.75,5.75,7.25,4.75,1.25,6.25
chr19:13700279-13700280,2.75,228.25,0.0,145.25,4.0,1.75,11.75,40.25,0.0,3.75,16.5,3.5,14.75,5.75,7.25,4.75,1.25,6.25
chr19:13802787-13802788,3.75,51.5,0.0,3.25,0.75,2.25,11.75,11.5,0.0,13.25,9.0,1.75,16.5,5.25,17.5,4.0,0.0,3.25
chr19:13802789-13802790,3.75,51.5,0.0,3.25,0.75,2.25,11.75,11.5,0.0,13.25,9.0,1.75,16.5,5.25,17.5,4.0,0.0,3.25
chr19:13802796-13802797,3.52273,48.5455,0.0,3.29545,0.613636,2.20455,11.8864,11.6364,0.0,13.3864,8.727269999999999,1.79545,16.1364,5.38636,17.5,3.8181800000000004,0.0,3.20455
chr19:13828253-13828254,4.25,888.3860000000001,0.0,63.6136,6.95455,2.11364,38.2273,38.2955,0.0,89.7955,58.0227,3.70455,64.7045,11.3636,65.4773,4.63636,1.70455,5.31818
chr19:13828255-13828256,4.25,947.25,0.0,65.75,7.5,2.25,39.5,39.25,0.0,93.25,59.25,3.75,67.25,11.5,67.75,4.5,1.75,5.5
chr19:13828290-13828291,4.25,947.25,0.0,65.75,7.5,2.25,39.5,39.25,0.0,93.25,59.25,3.75,67.25,11.5,67.75,4.5,1.75,5.5
chr19:13828291-13828292,4.25,947.25,0.0,65.75,7.5,2.25,39.5,39.25,0.0,93.25,59.25,3.75,67.25,11.5,67.75,4.5,1.75,5.5
chr19:13828292-13828293,4.25,947.25,0.0,65.75,7.5,2.25,39.5,39.25,0.0,93.25,59.25,3.75,67.25,11.5,67.75,4.5,1.75,5.5
chr19:13828293-13828294,4.25,947.25,0.0,65.75,7.5,2.25,39.5,39.25,0.0,93.25,59.25,3.75,67.25,11.5,67.75,4.5,1.75,5.5
chr19:13828294-13828295,4.25,947.25,0.0,65.75,7.5,2.25,39.5,39.25,0.0,93.25,59.25,3.75,67.25,11.5,67.75,4.5,1.75,5.5
chr19:13828300-13828301,3.97727,1056.89,0.0,67.3864,8.04545,2.38636,42.5,40.4773,0.0,100.75,60.4773,4.02273,70.9318,10.8182,70.3409,4.63636,2.15909,5.5
chr19:13828302-13828303,3.88636,1093.43,0.0,67.9318,8.227269999999999,2.43182,43.5,40.8864,0.0,103.25,60.8864,4.11364,72.1591,10.5909,71.2045,4.68182,2.29545,5.5
chr19:13830949-13830950,5.13636,431.955,0.0,11.2955,6.45455,1.79545,29.2273,25.8636,1.02273,68.2273,83.5,3.34091,62.5,8.81818,38.5,5.06818,3.27273,2.59091
chr19:13830952-13830953,5.06818,399.977,0.0,11.7727,6.72727,1.52273,27.8636,25.9318,0.8863639999999999,63.8636,82.0,3.54545,61.0,8.409089999999999,36.25,4.65909,3.13636,2.79545
chr19:13832309-13832310,6.25,80.5,0.0,109.75,2.0,2.0,9.0,22.25,0.0,6.25,9.25,1.75,7.75,5.5,9.75,5.0,4.0,3.0
chr19:13832312-13832313,6.25,80.5,0.0,109.75,2.0,2.0,9.0,22.25,0.0,6.25,9.25,1.75,7.75,5.5,9.75,5.0,4.0,3.0
chr2:57724836-57724837,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0
chr2:57724848-57724849,4.09091,46.4318,0.0,44.2045,5.59091,0.159091,4.79545,10.0682,0.0,2.43182,10.0455,2.25,9.06818,1.9090900000000002,2.90909,2.72727,0.181818,1.81818
chr2:57724857-57724858,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5
chr2:57724858-57724859,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5
chr2:57724859-57724860,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5
chr2:57724861-57724862,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5
chr2:57724862-57724863,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5
chr2:57987102-57987103,3.54545,290.795,0.0,73.9773,1.0,1.61364,10.3864,21.6591,0.0,7.93182,15.8182,2.56818,8.68182,4.22727,4.04545,5.40909,1.43182,9.840910000000001
chr2:57987104-57987105,3.6818199999999996,317.932,0.0,77.6591,1.0,1.70455,10.7955,22.3864,0.0,7.97727,16.7727,2.52273,9.227269999999999,4.40909,4.18182,5.63636,1.47727,10.6136
chr2:58004254-58004255,3.5681800000000004,637.977,0.0,5.75,10.1591,0.704545,119.273,18.1136,0.0,145.705,33.0,0.522727,66.3182,5.02273,61.5227,1.22727,2.25,3.97727
chr2:58004315-58004316,3.5,636.75,0.0,5.5,13.25,1.75,122.25,16.0,0.0,150.25,30.0,1.0,64.75,6.0,60.75,2.0,1.75,4.5
chr2:58004316-58004317,3.5,636.75,0.0,5.5,13.25,1.75,122.25,16.0,0.0,150.25,30.0,1.0,64.75,6.0,60.75,2.0,1.75,4.5
chr2:58004334-58004335,3.5,636.75,0.0,5.5,13.25,1.75,122.25,16.0,0.0,150.25,30.0,1.0,64.75,6.0,60.75,2.0,1.75,4.5
chr2:58004344-58004345,3.5,636.75,0.0,5.5,13.25,1.75,122.25,16.0,0.0,150.25,30.0,1.0,64.75,6.0,60.75,2.0,1.75,4.5
chr2:58004345-58004346,3.4318199999999996,622.727,0.0,5.47727,13.0909,1.81818,120.682,15.75,0.0,148.591,29.6364,1.02273,63.8636,6.13636,60.3864,2.06818,1.70455,4.59091
chr2:58055420-58055421,1.5,28.25,0.0,1.5,3.0,1.25,1.75,6.25,0.0,2.0,2.0,1.0,0.0,1.5,0.5,1.0,0.0,1.0
chr2:58055464-58055465,2.0,36.5,0.0,1.5,3.25,0.75,3.25,5.5,0.0,3.5,2.0,1.0,0.25,2.0,0.5,1.0,0.0,0.75
chr2:58055474-58055475,2.0,36.5,0.0,1.5,3.25,0.75,3.25,5.5,0.0,3.5,2.0,1.0,0.25,2.0,0.5,1.0,0.0,0.75
chr2:58055475-58055476,2.0,36.5,0.0,1.5,3.25,0.75,3.25,5.5,0.0,3.5,2.0,1.0,0.25,2.0,0.5,1.0,0.0,0.75
chr2:58055532-58055533,2.5,39.0,0.0,2.75,3.0,0.25,5.0,6.25,0.0,4.75,2.0,1.0,0.75,2.0,0.5,0.75,0.0,0.25
chr2:58055544-58055545,2.5,39.0,0.0,2.75,3.0,0.25,5.0,6.25,0.0,4.75,2.0,1.0,0.75,2.0,0.5,0.75,0.0,0.25
chr2:58133479-58133480,4.25,125.0,0.0,92.25,0.5,3.75,8.25,16.5,0.0,10.5,19.75,0.25,9.25,3.5,9.25,4.5,1.75,0.0
chr2:58266383-58266384,3.25,47.75,0.75,4.0,1.0,0.25,12.0,8.5,0.0,8.25,3.25,1.25,7.0,4.25,3.5,1.75,0.25,2.75
chr2:58273832-58273833,38.0,1873.75,50.0,18.5,23.75,2.0,9.5,55.0,51.25,14.25,78.0,2.25,17.0,3.25,14.5,14.5,4.0,75.25
chr2:58273837-58273838,38.0,1873.75,50.0,18.5,23.75,2.0,9.5,55.0,51.25,14.25,78.0,2.25,17.0,3.25,14.5,14.5,4.0,75.25
chr2:58274155-58274156,45.25,616.75,20.5,17.75,5.0,1.5,15.5,52.75,24.0,8.5,46.0,3.0,10.25,3.5,12.25,17.75,5.0,93.5
chr2:58274178-58274179,45.25,616.75,20.5,17.75,5.0,1.5,15.5,52.75,24.0,8.5,46.0,3.0,10.25,3.5,12.25,17.75,5.0,93.5
chr2:58274179-58274180,45.25,616.75,20.5,17.75,5.0,1.5,15.5,52.75,24.0,8.5,46.0,3.0,10.25,3.5,12.25,17.75,5.0,93.5
chr2:58274223-58274224,42.75,682.75,21.0,14.0,9.0,1.0,14.0,53.25,25.25,8.75,43.0,3.0,10.5,4.25,9.25,17.25,4.0,97.0
chr2:58274228-58274229,42.75,682.75,21.0,14.0,9.0,1.0,14.0,53.25,25.25,8.75,43.0,3.0,10.5,4.25,9.25,17.25,4.0,97.0
chr2:58274229-58274230,42.75,682.75,21.0,14.0,9.0,1.0,14.0,53.25,25.25,8.75,43.0,3.0,10.5,4.25,9.25,17.25,4.0,97.0
chr2:58274259-58274260,37.0,749.25,18.25,12.25,12.0,1.25,12.0,53.25,24.25,9.0,40.75,2.5,11.0,4.25,6.75,19.0,2.5,96.0
chr2:58274260-58274261,37.0,749.25,18.25,12.25,12.0,1.25,12.0,53.25,24.25,9.0,40.75,2.5,11.0,4.25,6.75,19.0,2.5,96.0
chr2:58274351-58274352,29.5455,795.273,18.7273,9.86364,13.5909,1.09091,11.1591,50.3636,20.8864,8.86364,38.5227,1.27273,13.3636,3.20455,4.90909,17.9091,1.81818,94.4545
chr2:58274352-58274353,29.1591,794.705,18.7955,9.772730000000001,13.5682,1.06818,11.1818,50.0227,20.7273,8.772730000000001,38.4545,1.20455,13.5227,3.09091,4.93182,17.6818,1.8636400000000002,94.0909
chr2:58274499-58274500,26.75,705.909,21.1591,11.7727,7.93182,0.636364,12.6364,35.4545,18.0455,6.27273,33.8864,1.59091,16.8182,1.27273,8.090910000000001,9.977269999999999,5.70455,82.5682
chr2:58274555-58274556,29.75,543.75,18.5,14.5,6.5,2.0,11.25,26.25,15.25,7.0,29.0,2.0,13.5,1.5,6.75,9.0,5.25,73.0
chr2:58274572-58274573,29.75,543.75,18.5,14.5,6.5,2.0,11.25,26.25,15.25,7.0,29.0,2.0,13.5,1.5,6.75,9.0,5.25,73.0
chr2:58274573-58274574,29.75,543.75,18.5,14.5,6.5,2.0,11.25,26.25,15.25,7.0,29.0,2.0,13.5,1.5,6.75,9.0,5.25,73.0
chr2:58274579-58274580,29.75,543.75,18.5,14.5,6.5,2.0,11.25,26.25,15.25,7.0,29.0,2.0,13.5,1.5,6.75,9.0,5.25,73.0
chr2:58274590-58274591,29.75,543.75,18.5,14.5,6.5,2.0,11.25,26.25,15.25,7.0,29.0,2.0,13.5,1.5,6.75,9.0,5.25,73.0
chr2:58274620-58274621,28.5,388.0,16.0,14.5,6.75,3.25,8.75,25.5,12.25,8.75,25.0,1.75,10.5,3.0,4.0,9.0,4.25,68.25
chr2:58274862-58274863,19.5,56.0,13.25,11.5,3.75,0.75,6.25,19.75,18.0,12.25,15.5,3.0,7.75,1.5,9.25,5.25,4.25,40.5
chr2:58274866-58274867,19.5,56.0,13.25,11.5,3.75,0.75,6.25,19.75,18.0,12.25,15.5,3.0,7.75,1.5,9.25,5.25,4.25,40.5
chr2:58274894-58274895,19.5,56.0,13.25,11.5,3.75,0.75,6.25,19.75,18.0,12.25,15.5,3.0,7.75,1.5,9.25,5.25,4.25,40.5
chr2:58274898-58274899,19.6818,53.1818,13.25,11.3182,3.29545,0.75,6.15909,18.9318,18.5455,12.7955,14.9545,3.0,7.75,1.40909,9.70455,5.43182,4.79545,39.8636
chr2:58274900-58274901,19.7727,51.7727,13.25,11.2273,3.06818,0.75,6.11364,18.5227,18.8182,13.0682,14.6818,3.0,7.75,1.36364,9.93182,5.52273,5.06818,39.5455
chr2:58274909-58274910,20.0,48.25,13.25,11.0,2.5,0.75,6.0,17.5,19.5,13.75,14.0,3.0,7.75,1.25,10.5,5.75,5.75,38.75
chr2:58274960-58274961,18.75,36.0,11.75,10.75,1.75,1.0,6.0,15.0,17.0,15.75,12.75,3.0,7.5,1.0,13.0,5.75,5.5,35.25
chr2:58274961-58274962,18.75,36.0,11.75,10.75,1.75,1.0,6.0,15.0,17.0,15.75,12.75,3.0,7.5,1.0,13.0,5.75,5.5,35.25
chr2:58275332-58275333,13.0,122.25,11.5,9.75,3.25,1.0,18.5,15.0,13.5,80.25,22.5,0.75,39.25,3.5,35.25,6.5,4.0,30.0
chr2:58275363-58275364,10.25,145.25,12.0,9.5,3.0,1.0,18.25,14.75,14.25,74.25,20.75,0.25,39.25,3.25,31.5,7.0,4.75,28.25
chr2:58275365-58275366,10.25,145.25,12.0,9.5,3.0,1.0,18.25,14.75,14.25,74.25,20.75,0.25,39.25,3.25,31.5,7.0,4.75,28.25
chr2:58275366-58275367,10.25,145.25,12.0,9.5,3.0,1.0,18.25,14.75,14.25,74.25,20.75,0.25,39.25,3.25,31.5,7.0,4.75,28.25
chr2:58275367-58275368,10.25,145.25,12.0,9.5,3.0,1.0,18.25,14.75,14.25,74.25,20.75,0.25,39.25,3.25,31.5,7.0,4.75,28.25
chr2:58275374-58275375,10.25,145.25,12.0,9.5,3.0,1.0,18.25,14.75,14.25,74.25,20.75,0.25,39.25,3.25,31.5,7.0,4.75,28.25
chr2:58275393-58275394,10.25,145.25,12.0,9.5,3.0,1.0,18.25,14.75,14.25,74.25,20.75,0.25,39.25,3.25,31.5,7.0,4.75,28.25
chr2:58301054-58301055,1.72727,324.72700000000003,0.0227273,4.52273,3.75,2.75,36.7273,24.9318,3.95455,7.02273,20.3182,3.63636,3.77273,4.77273,4.52273,3.5,4.22727,2.34091
chr2:58301072-58301073,1.75,330.75,0.0,4.5,3.75,2.75,37.25,25.0,4.0,7.25,20.5,3.75,3.75,4.75,4.5,3.5,4.25,2.25
chr2:58301074-58301075,1.75,330.75,0.0,4.5,3.75,2.75,37.25,25.0,4.0,7.25,20.5,3.75,3.75,4.75,4.5,3.5,4.25,2.25
chr2:58301092-58301093,1.75,330.75,0.0,4.5,3.75,2.75,37.25,25.0,4.0,7.25,20.5,3.75,3.75,4.75,4.5,3.5,4.25,2.25
chr2:58301121-58301122,1.25,317.0,0.0,4.5,4.0,1.5,39.75,24.0,4.0,9.75,19.75,4.25,4.25,4.0,4.25,3.0,4.0,1.0
chr2:58311440-58311441,2.0,15.75,4.75,3.5,1.25,1.25,3.25,11.75,1.5,10.0,6.25,2.5,2.5,2.75,2.0,2.0,3.25,1.75
chr2:58311442-58311443,2.0,15.75,4.75,3.5,1.25,1.25,3.25,11.75,1.5,10.0,6.25,2.5,2.5,2.75,2.0,2.0,3.25,1.75
chr2:58311444-58311445,2.0,15.75,4.75,3.5,1.25,1.25,3.25,11.75,1.5,10.0,6.25,2.5,2.5,2.75,2.0,2.0,3.25,1.75
chr2:58311445-58311446,1.95455,17.5227,4.88636,3.5,1.34091,1.25,3.3181800000000004,11.7727,1.5,10.1364,6.27273,2.54545,2.54545,2.86364,1.97727,1.95455,3.22727,1.75
chr2:58311451-58311452,1.68182,28.1591,5.70455,3.5,1.8863599999999998,1.25,3.72727,11.9091,1.5,10.9545,6.40909,2.81818,2.81818,3.54545,1.8409099999999998,1.68182,3.09091,1.75
chr2:58311462-58311463,1.5,35.25,6.25,3.5,2.25,1.25,4.0,12.0,1.5,11.5,6.5,3.0,3.0,4.0,1.75,1.5,3.0,1.75
chr2:58311465-58311466,1.5,35.25,6.25,3.5,2.25,1.25,4.0,12.0,1.5,11.5,6.5,3.0,3.0,4.0,1.75,1.5,3.0,1.75
chr2:58311506-58311507,1.75,45.0,7.5,4.5,2.75,2.25,5.25,10.5,1.25,10.75,7.25,3.0,3.75,5.25,2.25,1.0,2.25,2.25
chr2:58311533-58311534,1.75,45.0,7.5,4.5,2.75,2.25,5.25,10.5,1.25,10.75,7.25,3.0,3.75,5.25,2.25,1.0,2.25,2.25
chr2:58326235-58326236,3.0,74.0,0.25,3.75,3.25,0.5,33.75,13.75,2.75,46.0,16.5,0.75,19.0,5.5,23.5,2.5,1.75,2.75
chr2:58326243-58326244,3.0,74.0,0.25,3.75,3.25,0.5,33.75,13.75,2.75,46.0,16.5,0.75,19.0,5.5,23.5,2.5,1.75,2.75
chr2:58326246-58326247,3.09091,81.9545,0.340909,3.5681800000000004,3.15909,0.5,34.8864,13.9773,2.70455,47.5909,16.8636,0.8863639999999999,20.1364,5.59091,23.8636,2.36364,1.6590900000000002,2.56818
chr2:58326247-58326248,3.13636,85.9318,0.386364,3.47727,3.11364,0.5,35.4545,14.0909,2.68182,48.3864,17.0455,0.9545450000000001,20.7045,5.63636,24.0455,2.29545,1.61364,2.47727
chr2:58326248-58326249,3.18182,89.9091,0.43181800000000004,3.38636,3.06818,0.5,36.0227,14.2045,2.65909,49.1818,17.2273,1.02273,21.2727,5.68182,24.2273,2.22727,1.56818,2.38636
chr2:58326384-58326385,2.75,149.25,1.5,2.25,3.0,1.0,38.75,16.0,1.0,54.0,16.5,3.5,31.25,4.75,22.5,2.25,1.0,2.75
chr2:58326386-58326387,2.75,149.25,1.5,2.25,3.0,1.0,38.75,16.0,1.0,54.0,16.5,3.5,31.25,4.75,22.5,2.25,1.0,2.75
chr2:58326395-58326396,2.79545,145.93200000000002,1.5,2.29545,3.02273,1.02273,38.1364,16.0227,0.931818,52.9318,16.2273,3.5681800000000004,31.0227,4.77273,22.3182,2.25,1.09091,2.86364
chr2:58349799-58349800,0.272727,145.364,0.522727,5.36364,2.68182,1.6590900000000002,44.2273,18.6591,0.75,54.8864,28.8864,0.909091,31.2955,10.7955,33.1818,1.38636,3.02273,3.9318199999999996
chr2:58349909-58349910,1.5,231.0,0.0,8.5,3.5,0.5,48.0,22.75,0.25,75.25,41.0,2.75,39.5,7.0,36.25,1.5,1.75,6.75
chr2:58349911-58349912,1.5,231.0,0.0,8.5,3.5,0.5,48.0,22.75,0.25,75.25,41.0,2.75,39.5,7.0,36.25,1.5,1.75,6.75
chr2:58349913-58349914,1.5,231.0,0.0,8.5,3.5,0.5,48.0,22.75,0.25,75.25,41.0,2.75,39.5,7.0,36.25,1.5,1.75,6.75
chr2:58349917-58349918,1.5,231.0,0.0,8.5,3.5,0.5,48.0,22.75,0.25,75.25,41.0,2.75,39.5,7.0,36.25,1.5,1.75,6.75
chr2:58349918-58349919,1.5,231.0,0.0,8.5,3.5,0.5,48.0,22.75,0.25,75.25,41.0,2.75,39.5,7.0,36.25,1.5,1.75,6.75
chr2:58349923-58349924,1.5,231.0,0.0,8.5,3.5,0.5,48.0,22.75,0.25,75.25,41.0,2.75,39.5,7.0,36.25,1.5,1.75,6.75
chr2:58349930-58349931,1.5,231.0,0.0,8.5,3.5,0.5,48.0,22.75,0.25,75.25,41.0,2.75,39.5,7.0,36.25,1.5,1.75,6.75
chr2:58385024-58385025,1.25,32.5,3.0,2.75,0.5,0.0,10.0,13.25,3.0,4.0,8.5,2.0,5.5,7.0,4.0,2.25,6.5,1.5
chr2:58385025-58385026,1.25,32.5,3.0,2.75,0.5,0.0,10.0,13.25,3.0,4.0,8.5,2.0,5.5,7.0,4.0,2.25,6.5,1.5
chr2:58385032-58385033,1.25,32.5,3.0,2.75,0.5,0.0,10.0,13.25,3.0,4.0,8.5,2.0,5.5,7.0,4.0,2.25,6.5,1.5
chr2:58385056-58385057,1.25,65.0,3.5,3.5,1.75,0.0,13.0,13.5,2.5,6.0,10.75,2.5,6.25,6.75,3.75,1.5,5.75,1.5
chr2:58385078-58385079,1.25,65.0,3.5,3.5,1.75,0.0,13.0,13.5,2.5,6.0,10.75,2.5,6.25,6.75,3.75,1.5,5.75,1.5
chr2:58385079-58385080,1.25,65.0,3.5,3.5,1.75,0.0,13.0,13.5,2.5,6.0,10.75,2.5,6.25,6.75,3.75,1.5,5.75,1.5
chr2:58385174-58385175,3.0,106.25,6.25,3.5,3.0,1.25,17.0,11.0,4.0,11.0,9.5,2.0,7.5,4.5,3.25,1.75,4.0,1.25
chr2:58464935-58464936,5.5,60.0,4.5,4.0,4.25,1.5,13.25,8.5,4.75,7.75,9.75,0.0,8.25,2.75,3.5,4.0,2.0,3.5
chr2:58465090-58465091,4.0,428.0,4.25,7.5,7.0,2.0,19.5,11.75,5.0,13.25,5.25,1.5,9.5,6.5,8.5,4.0,1.0,4.5
chr2:58465148-58465149,2.54545,429.409,4.15909,5.61364,6.31818,2.25,19.2727,11.9773,4.5,10.3182,5.25,2.27273,9.909089999999999,6.863639999999999,8.977269999999999,3.84091,0.0,4.15909
chr2:58465152-58465153,2.09091,404.31800000000004,4.06818,4.97727,6.13636,2.25,18.5455,11.7045,4.5,9.13636,5.25,2.54545,9.81818,7.22727,8.70455,3.9318199999999996,0.0,4.06818
chr2:58465177-58465178,1.75,385.5,4.0,4.5,6.0,2.25,18.0,11.5,4.5,8.25,5.25,2.75,9.75,7.5,8.5,4.0,0.0,4.0
chr2:58465178-58465179,1.75,385.5,4.0,4.5,6.0,2.25,18.0,11.5,4.5,8.25,5.25,2.75,9.75,7.5,8.5,4.0,0.0,4.0
chr2:58465181-58465182,1.75,385.5,4.0,4.5,6.0,2.25,18.0,11.5,4.5,8.25,5.25,2.75,9.75,7.5,8.5,4.0,0.0,4.0
chr2:58675323-58675324,1.25,113.75,0.0,28.75,0.75,1.5,5.0,13.0,0.0,1.75,11.0,1.75,7.75,1.25,3.25,1.25,1.25,0.75
chr2:58675376-58675377,1.0,138.25,0.0,29.25,1.0,2.25,4.25,14.25,0.0,2.0,10.25,1.25,7.0,2.0,3.0,0.75,0.75,1.0
chr2:58675377-58675378,1.0,138.25,0.0,29.25,1.0,2.25,4.25,14.25,0.0,2.0,10.25,1.25,7.0,2.0,3.0,0.75,0.75,1.0
chr2:58675381-58675382,1.0,138.25,0.0,29.25,1.0,2.25,4.25,14.25,0.0,2.0,10.25,1.25,7.0,2.0,3.0,0.75,0.75,1.0
chr2:58675384-58675385,1.0,138.25,0.0,29.25,1.0,2.25,4.25,14.25,0.0,2.0,10.25,1.25,7.0,2.0,3.0,0.75,0.75,1.0
chr2:58788606-58788607,0.75,95.75,0.0,3.25,0.0,1.5,11.5,5.75,0.0,38.75,5.75,1.0,12.0,4.25,18.5,1.5,2.0,1.5
chr2:58788616-58788617,0.75,95.75,0.0,3.25,0.0,1.5,11.5,5.75,0.0,38.75,5.75,1.0,12.0,4.25,18.5,1.5,2.0,1.5
chr2:58798544-58798545,2.75,228.25,0.0,50.75,5.25,0.5,6.75,9.25,0.0,3.0,6.5,2.5,9.0,3.5,4.25,3.0,2.25,2.75
chr2:58798545-58798546,2.75,229.705,0.0,51.4773,5.20455,0.522727,6.886360000000001,9.409089999999999,0.0,2.88636,6.590910000000001,2.5,9.13636,3.54545,4.22727,3.06818,2.22727,2.75
chr2:58798546-58798547,2.75,231.15900000000002,0.0,52.2045,5.15909,0.545455,7.02273,9.56818,0.0,2.77273,6.68182,2.5,9.272730000000001,3.59091,4.20455,3.13636,2.20455,2.75
chr2:58798547-58798548,2.75,232.614,0.0,52.9318,5.11364,0.568182,7.159089999999999,9.727269999999999,0.0,2.65909,6.77273,2.5,9.409089999999999,3.63636,4.18182,3.20455,2.18182,2.75
chr2:58798598-58798599,2.65909,224.25,0.0,58.2045,4.47727,0.840909,8.159089999999999,12.0,0.0,1.47727,7.590910000000001,2.5,10.8636,3.90909,3.72727,3.84091,1.63636,2.56818
chr2:58798603-58798604,2.54545,199.25,0.0,57.5227,4.13636,0.9545450000000001,8.04545,13.25,0.0,1.13636,7.70455,2.5,11.3182,3.79545,3.38636,3.95455,1.18182,2.34091
chr2:58798604-58798605,2.52273,194.25,0.0,57.3864,4.06818,0.977273,8.022730000000001,13.5,0.0,1.06818,7.72727,2.5,11.4091,3.77273,3.3181800000000004,3.97727,1.09091,2.29545
chr2:58916157-58916158,2.75,788.75,0.0,11.25,3.5,1.25,45.75,22.25,0.0,136.0,24.5,1.25,69.25,5.25,73.25,3.5,1.75,6.5
chr2:58916182-58916183,2.75,788.75,0.0,11.25,3.5,1.25,45.75,22.25,0.0,136.0,24.5,1.25,69.25,5.25,73.25,3.5,1.75,6.5
chr2:58916231-58916232,2.25,776.0,0.0,12.5,2.75,1.25,41.0,22.25,0.0,124.5,24.75,1.75,62.0,5.0,68.25,3.0,1.5,7.0
chr2:58958033-58958034,3.0,23.5,0.0,2.75,0.75,2.5,7.0,8.25,0.0,2.75,6.25,1.5,4.0,5.0,2.5,1.0,0.0,1.0
chr2:58958035-58958036,3.0,23.5,0.0,2.75,0.75,2.5,7.0,8.25,0.0,2.75,6.25,1.5,4.0,5.0,2.5,1.0,0.0,1.0
chr2:58958037-58958038,3.0,23.5,0.0,2.75,0.75,2.5,7.0,8.25,0.0,2.75,6.25,1.5,4.0,5.0,2.5,1.0,0.0,1.0
chr2:58958044-58958045,3.0,23.5,0.0,2.75,0.75,2.5,7.0,8.25,0.0,2.75,6.25,1.5,4.0,5.0,2.5,1.0,0.0,1.0
chr2:58958045-58958046,3.02273,24.0455,0.0,2.70455,0.8636360000000001,2.59091,7.0,8.20455,0.0,2.75,6.20455,1.54545,4.06818,5.02273,2.47727,1.04545,0.0681818,1.02273
chr2:58958059-58958060,3.25,29.5,0.0,2.25,2.0,3.5,7.0,7.75,0.0,2.75,5.75,2.0,4.75,5.25,2.25,1.5,0.75,1.25
chr2:58958128-58958129,3.0,31.0,0.0,1.75,3.25,2.75,6.5,8.25,0.0,2.5,4.75,2.25,5.0,5.25,2.25,1.75,1.75,1.5
chr2:58958132-58958133,3.0,31.0,0.0,1.75,3.25,2.75,6.5,8.25,0.0,2.5,4.75,2.25,5.0,5.25,2.25,1.75,1.75,1.5
chr2:58958137-58958138,3.0,31.0,0.0,1.75,3.25,2.75,6.5,8.25,0.0,2.5,4.75,2.25,5.0,5.25,2.25,1.75,1.75,1.5
chr2:58958138-58958139,3.0,31.0,0.0,1.75,3.25,2.75,6.5,8.25,0.0,2.5,4.75,2.25,5.0,5.25,2.25,1.75,1.75,1.5
